,IBU,ABV,Description,type,SRM
407,3,3.9,Berlin style wheat ale aged on blackberries. Latest in the Noble Star Collection.,9,5
408,5,5.9,"After spending a full year undergoing a long slow mixed culture fermentation in one of our original, 1936 cypress wood lagering tanks at our new Starkeller sour facility, this beer was transferred onto 6,600 pounds of plums for an additional 5 months of maturation on fruit. Electrik Empress is hazy cotton candy pink in color and bursts with the fresh aroma of ripe plum skins. It is medium bodied and fairly dry with a soft lemon-tart acidity and flavor of plums, lemon and pear",9,5
409,5,5.1,"Rye Berliner Weisse. A sneak preview at our forthcoming Noble Star release. We put a twist on a traditional Berliner Weisse with the addition of 35% rye malt. Moderately acidic and golden in color, this beer has a spicy dryness from the rye that compliments the tart fruitiness of the beer. Aged for 8 months in our 1936 cypress wood lagering tank. 3.56 pH, 0.75 Total Acidit",9,6
410,4,6.5,"Crafted over the course of two years, Harmony of Spheres began with a mixed primary fermentation of lactobacillus, brettanomyces, and saccromyces. After aging for almost 12 months in an 80 year-old cypress wood lagering tank, the brew was then re-fermented over gooseberries, allowing the character of this unusual fruit to impart unique lemon and lime flavors. Following this extended secondary aging, Harmony of Spheres was dry hopped with Lemondrop hops to further accentuate the beer's bright citrus character",9,7
411,10,5.8,"This beer is a blend of two traditional, mixed-culture Berliner Weisse interpretations, and hand-bottled and bottle-conditioned. ThereÃ¢ÂÂs the refreshingly tropical and citrusy impacts from heavy doses of Citra and Denali dry-hopping, subtle wood contributions from the beerÃ¢ÂÂs aging almost a year in the breweryÃ¢ÂÂs 80-year-old cypress lagering tanks, and itÃ¢ÂÂs just a beautifully executed take on the German Berliner Weisse style",9,10
412,4,5.6,"This a slightly stronger take on traditional take on a Berliner Weisse style beer. Aged for nearly a year in one of our cypress wood lagering tanks, this beer is dry and highly carbonated with refreshingly acidic character and a dry, cider like finish with notes of pears and lemons",9,9
413,4,7.0,"A strong, dark experimental take on a Berliner Weisse. Brewed using traditional methods, fermented with an authentic mixed culture and then aged for nearly a year in one of our cypress wood fermenters from 1936",9,5
414,5,6.5,"Black currant. This sour is the result of brewing a big, dark, malty beer in a typical Berliner Weisse fashion. Black Prism has a deep acidity with a sweet tart fruit character and a subtle fruity earthiness on top of layers of dark malts",9,10
415,4,6.9,Flanders Red-Inspired Berlin-Style Wheat Ale. Aged with Brettanomyces Bruxellensis in cypress wood lagering tanks for one year.,9,7
416,5,5.0,"We combined two different traditionally made Berliner Weisses that had both aged for a year in a pair of our original, 80 year-old cypress wood foudres to create the base for Binary Storm. We then added 5,000 pounds of Michigan boysenberries and gave it an additional three months of aging. Binary Storm pours pansy purple in color with a refreshingly high level of carbonation. Bright, sweet floral aromas radiate from the glass along with notes of fruit loops. The juicy, sweet tart character of the boysenberries are on full display with a crisp, tangy acidity, and glowingly rich, jammy fruitiness",9,6
417,5,6.4,"The base of this ale started out as an homage to the beer that inspired us to start the Noble Star Collection. Alpha State takes that beer one step further with the addition of 6,600 pounds of Montmorency cherries, aged for an additional five months after spending nearly a year in one of our original, 80 year-old cypress wood foudres. Dusty crimson red in color, a tart cherry aroma emanates from the glass atop an underlying spice. A moderate acidity showcas- es the cherry tang and almond flavors that mingle together, balancing over a toasty malt backbone, and finishing with a lingering sour, yet sweet, cherry zest.
Medium-bodied, Alpha State is un ltered and bottle conditioned to allow the avors to continue to develop and evolve in the bottle. Drink this bottle fresh and chilled to enjoy the bright fruit character of this unique interpretation of a Berliner Weisse in a pokal glass or champagne saucer",9,10
418,5,5.0,"Brewed for the MN State Fair, this beer is refreshingly tart and dry, bursting with raspberries, blackberries, strawberries and blueberries flavors atop the lemony based beer. 5.0% ABV. 5 IBUs",9,9
419,5,5.0,"Two to Tango, Three to Mango is a traditionally brewed, mixed-culture Berliner Weisse aged for one year in our wood lagering tanks and then aged an additional three months on 5,000 pounds of mangoes. It has a bright, fruity flavor of ripe mangoes on top of a refreshingly tart and dry lemony acidity",9,11
420,3,7.0,"The newest addition to our Starkeller line up. Static Transmission pours a hazy gold in color and is bursting with the aromas of fresh wildflowers, lemons and pineapple. Oats lend a rich, creamy mouthfeel over a bright, sweet and sour character. Enjoy this traditionally crafted beer chilled, in a pokal glass or champagne flute",9,6
421,4,4.8,"Jam-packed with fruity flavors, this beer has the sweet and sour combination nailed. Seriously. Passion fruit, mangos, and guava front and center. Need we say more",9,5
422,5,5.5,"Made exclusively for our first annual Funk Junction Sour Beer Festival. A mixed culture Berliner Weisse that aged for nearly a year before being transferred onto over four pounds per
barrel of peaches for an additional three months. Fruity and floral aromas of peaches atop of a bright lemony base",9,7
423,6,5.8,"Brewed for the Red Stag Block Party in collaboration with Sociable Cider Werks. A mixed culture Berliner Weisse base aged for over a year, then aged 50/50 in the leftover pulp from Framboise Du Nord for an additional 6 months. It was then blended with Freewheeler Cider from Sociable fermented at the Starkeller and keg conditioned",9,11
468,12,4.4,"This German Gose is bright and frisky, tart and saline, and dances on the palate with punches of peach. Thirst quenching beyond all imagination. Peach Dodo is the finest of liquids for a beach picnic or for making history",9,5
476,8,4.4,"Brewed in collaboration with the gaming gurus at 16-bit, Press Tart is a Berliner Style Weisse Fruit Beer bramble-smashed with marionberries and blueberries. Rich and fruit-forward, this brew unlocks secret levels of berry jam and punch-you-out tartness",9,11
2567,4,3.8,Sour - Berliner Weisse,9,9
2568,5,7.5,"A ""Starkbier"" style Berliner Weisse. Aged in our 1936 cypress wood lagering tank for complex fruity and intensely refreshing acidity.

Dawn of Aurora is honey-orange in color with a white foam head. Predominantly fruity notes of pineapple, apricot and pear are accompanied by an intense yet refreshing acidity and sparkling carbonation. Read Less",9,10
2569,4,4.1,Sour - Berliner Weisse,9,5
2570,20,6.0,"Collaboration with Toll Road Brewing, Sour ale treated to taste like a cherry cola, or as the kids know it...a ",9,8
2571,5,4.9,"Imagine yourself in Berlinâs Tiergarten enjoying this refreshing Berliner Weisse inspired beer on a warm summerâs day. Bretta Weisse honors the traditional beverage of the great Prussian capital, Berlin. Fredrick-the-Great was trained to brew it, and Napoleonâs troops called it âThe champagne of the Northâ. Firm estery notes of stone and tropical fruit lead to Funky, yeasty, citrus aromas. Soft cereal and Oak flavors are enveloped by a firm acidity and tartness. The finish is dry and crisp; a thoroughly enjoyable beverage. At 4.9% ABV, one could imagine enjoying several Bretta Weisseâs in the Tiergarten, or anywhere else. This Berliner Weisse inspired Wheat beer was aged in 1700 gal French Oak horizontal foeders for 8 months. Read Less",9,11
2572,4,8.0,Sour - Berliner Weisse,9,10
2573,3,3.9,Berlin style wheat ale aged on blackberries. Latest in the Noble Star ,9,9
2574,15,9.2,"Rampart Junction is our red wine barrel-aged peach sour (Empty Hats is the base beer). After 11 months in red wine barrels, we added 50lbs per barrel of fresh, organic, heirloom peaches, which spent 5 months in the barrels before bottling. The resulting beer is completely saturated with fresh peach flavor & aroma, complimented by a hugely funky aroma & a strong sourness. Rampart Junction is a laser beam of sour peach awesomeness. Read Less",9,6
2575,15,7.4,"Empty Hats is our red wine barrel-aged Oud Bruin. It features loads of dark fruit, horse blanket, and oak in the aroma. The flavor starts with a big red wine component, quickly followed by a strong tartness, funk, and a hint of warm malt on the finish, which lingers for ages. This is a very complex & extremely flavorful beer featuring the most red wine character of our sours. Read Less",9,5
2576,5,8.5,Sour - Flanders Oud Bruin,9,4
2577,15,8.2,Sour - Flanders Oud Bruin,9,8
2578,10,9.3,Sour - Flanders Oud Bruin,9,5
2579,15,6.2,Oud Bruin Sour Brown style aged in wet Merlot barrels for,9,10
2580,10,7.5,Sour - Flanders Oud Bruin,9,6
2581,16,6.2,Barrel aged sou,9,9
2582,15,10.5,Sour - Flanders Red Ale,9,9
2583,16,6.7,Sour - Flanders Red Ale,9,6
2584,6,8.0,"Oude Tart is a Flemish-Style Red Ale aged in red wine barrels for 18 months. Itâs pleasantly sour with hints of leather, dark fruit and toasty oak. While this is one of the more classic beer styles that we make, itâs not a style that you can find too often in the United States. Originating in style from the Flanders region of Belgium, near the French boarder, this dark, sour ale has roots deep in brewing history and predates most of the ales that have become popular in contemporary culture. Weâre doing our best to keep the tradition alive by brewing and aging this beer here on the west coast.

Beginning in 2015, Oude Tart is part of the portfolio of Bruery Terreux. Read Less",9,11
2585,16,6.7,Sour - Flanders Red Ale,9,10
2586,15,7.6,Sour - Flanders Red Ale,9,6
2587,8,12.3,Sour - Flanders Red Ale,9,8
2588,10,6.1,"Flemish Red aged 13 months in Freshly Emptied Merlot French Oak barrels. Labeled batch ""TWO"" with Burgund",9,10
2589,10,7.2,Sour - Flanders Red Ale,9,11
2590,1,8.0,Sour - Flanders Red Ale,9,9
2591,11,6.2,Flemish Sour Red ale aged 13 months in fresh Merlot barrels. Red colore,9,7
2592,4,6.2,Flanders style sour red ale aged 12 months in oak barrels with tart cherries and blac,9,10
2593,12,5.0,"Fourth in our series of spontaneous sour ales. Fermented and aged in oak barrels - on yeast lies - with Oregon Blackberries. Refermented in this bottle - open with care. This is a Wild, Funky Sour Beer! Read Less",9,5
2594,6,11.0,Sour - Fruited,9,6
2595,8,5.2,Foeder aged American Sour with Black ,9,9
2596,4,4.8,"Fruited sour ale with lactose conditioned on blueberries, vanilla, cinnamon, & b",9,5
2597,6,9.0,Imperial sour ale with lactose conditioned on triple the amount of apricot and,9,9
2598,6,9.0,Sour - Fruited,9,11
2599,6,9.0,Sour - Fruited,9,4
2600,6,4.8,"Sour ale with lactose conditioned blackberries, cinnamon, vanilla, and b",9,8
2601,6,7.0,"Imperial sour ale with lactose conditioned on even more Blueberry, cinnamon, vanilla, and b",9,9
2602,4,7.0,Sour - Fruited,9,6
2603,6,9.0,Sour - Fruited,9,11
2604,6,7.0,Sour - Fruited,9,11
2605,4,7.0,Imperial sour ale conditoned on Boysenberry and Blac,9,8
2606,4,7.0,Imperial sour ale conditioned on apricot and,9,9
2607,4,7.0,"Imperial Sour Ale with lactose conditioned on raspberries, and sweet and tar",9,8
2608,6,4.8,Sour - Fruited,9,4
2609,6,7.0,Sour - Fruited,9,8
2610,6,7.0,Imperial sour ale with lactose conditioned on even more blueberries and st,9,5
2611,4,7.0,Sour - Fruited Berliner Weisse,9,10
2612,5,7.0,"Cuvee de Wakefield is a limited seasonal release that mashes up two of our famous, world class ales, DFPF and Mia",9,9
2613,4,6.0,Sour - Fruited Berliner Weisse,9,5
2614,25,7.0,"Another banging pastry sour, this time with blueberries, marshmallows, and vanilla sandwich cookies. *Conta",9,6
2615,6,6.7,Sour - Other,9,5
2616,15,7.0,"This raspberry-lemonade kettle sour is begging to join you next to the pool, or just about anywhere for that matter. (contai",9,10
2617,6,7.0,Imperial sour ale with lactose conditioned on EVEN MORE Blackberry and,9,6
2618,10,7.0,Sour - Other,9,6
2619,5,5.0,Sour - Other,9,5
2620,25,4.5,Black Gose brewed with lemon peel and aged 10 months in red wi,9,9
2621,10,4.6,Sour - Other Gose,9,6
2622,8,4.2,"A Margarita style Gose brewed with Wheat. Conditioned on Strawberry, Lime Peel, Agave, an",9,7
2623,3,4.0,"A Gose darkened with chocolate wheat. Dark, rich and beguiling. Notes of dark cherry p",9,11
2624,5,4.0,"Contemporary Gose kettle soured with lactobacillus, brewed with Pink Salt and Pink Peppercorn. Ah",9,8
2625,20,5.1,"A classic Gose with hibiscus petals, coriander seeds, and lime salt. Tart and refreshing. Best served around ",9,6
2626,10,4.5,Ginger beer and sweet lemony nose. Refreshing citrus tartness and ginger,9,5
2627,1,6.7,Sour - Other Gose,9,8
2628,2,5.2,"The name's Finch. Oozle...Finch. We pulled out all the stops for our latest experimental Gose, a martini-inspired sour ale brewed with gin botanicals. This beer contains no actual gin -- our brewmaster carefully hand-picked over a dozen specialty ingredients to mimic the classic flavors of gin, then made it a dirty martini with an addition of olive juice! Like our ""Just Too Likable"" Lemongrass Miso Gose, which relied on the miso for saltiness, this Gose contains no traditional sea salt -- all of the salinity comes from the olive juice. So if you're ready for a drink, Sour, Not Stirred may just hit the spot. Shaking the cans is not recommended! Read Less",9,11
2629,12,4.3,Epicurean Series. Wine barrel aged dill p,9,6
2630,5,5.0,Sour - Smoothie / Pastry,9,11
2631,15,5.5,Sour - Smoothie / Pastry,9,4
2632,5,6.5,"A gose styled ale with coriander, sea salt, and ",9,4
2633,4,5.5,Sour - Traditional Gose,9,7
2634,5,6.5,Sour - Traditional Gose,9,5
2635,5,4.6,Sour - Traditional Gose,9,9
2636,69,3.8,"Tart and salty, delightfully",9,5
2637,5,4.0,"Our interpretation of the traditional German-style sour wheat beer, brewed with coriander and grey sea salt. Sour, salty,",9,6
2638,8,5.1,"Gose with key lime juice and lactose and aged in Tequila barrels, brewed especially for Cinco de ",9,8
2639,8,4.5,Sour - Traditional Gose,9,7
2640,30,5.4,Sour - Traditional Gose,9,10
2641,50,4.0,Sour - Traditional Gose,9,11
2642,10,5.0,This German style soured wheat beer flavored with fresh pineapple,9,5
2643,11,5.3,Sour - Traditional Gose,9,9
3147,7,7.0,"Sherry Barrel Atrial Rubicite was brewed with Hill Country well water, barley, wheat, oats, and hops. It was fermented with our mixed culture of microorganisms consisting of brewers yeast and native yeast and bacteria harvested from the air and wildflowers around our brewery, and refermented with raspberries grown in Washington. Sherry Barrel Atrial Rubicite was packagd in July of 2015 and is unfiltered, unpasteurized, and 100% naturally conditioned. At the time of bottling, it was 7.0% alcohol by volume, 1.003 specific gravity (0.75 degrees Plato), 7 IBU, and 3.3 pH. Read Less",9,10
3148,11,7.25,Wild Ale - American,9,5
3149,7,7.5,Wild Ale - American,9,11
3150,19,5.5,"Our 2017 blend was made from about 1,200 liters (75%) of two-year old SPON and 400 liters (25%) of one-year old SPON. SPON is our 100% spontaneously fermented beer that we turbid mash with well water and local grain, boil with aged hops from our barn, cool and inoculate overnight in our coolship, and 100% spontaneously ferment in oak barrels. The peach varietal this year is Ranger, which came from Noble Farms in Lubbock, Texas. The apricot variety this year is Patterson, which came from Blossom Hill in California. We used about 800 pounds each of peaches and apricots (1,600 pounds total) in the refermentation. Read Less",9,11
3151,24,7.0,Wild Ale - Other,9,10
3152,9,5.5,Wild Ale - Other,9,9
3153,6,5.0,"2 year blended Golden Wild ale fermented and aged in oak barrels with Vermont wildflower honey, Guava and Lemon peel. Bottl",9,11
